地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
中国,兵庫,相生市,人文,年中行事（祭り・伝統行事）,相生ペーロン,B,歴史資源
中国,山口,美祢市,人文,年中行事（祭り・伝統行事）,秋吉台山焼,B,歴史資源
四国,愛媛,大洲市,人文,食,大洲いもたき,B,現代資源
九州,熊本,阿蘇市,人文,年中行事（祭り・伝統行事）,阿蘇の野焼き,B,歴史資源
九州,福岡,福岡市,人文,年中行事（祭り・伝統行事）,筥崎宮玉せせり,B,歴史資源
九州,長崎,長崎市,人文,年中行事（祭り・伝統行事）,長崎ランタンフェスティバル,B,歴史資源
中国,山口,山口市,人文,年中行事（祭り・伝統行事）,七夕ちょうちんまつり,B,歴史資源
九州,沖縄,糸満市,人文,年中行事（祭り・伝統行事）,糸満大綱引,B,歴史資源
北関東,群馬,前橋市,人文,神社・寺院・教会,三夜沢赤城神社,B,歴史資源
四国,愛媛,久万高原町,人文,神社・寺院・教会,大宝寺,B,歴史資源
東海,長野,松本市,人文,神社・寺院・教会,牛伏寺,B,歴史資源
北関西,滋賀,近江市,人文,神社・寺院・教会,百済寺,B,歴史資源
北関西,滋賀,甲賀市,人文,神社・寺院・教会,擽野寺,B,歴史資源
中国,島根,松江市,人文,神社・寺院・教会,佐太神社,B,歴史資源
南関西,三重,熊野市,人文,城跡・城郭・宮殿,赤木城跡,B,歴史資源
中国,山口,下関市,人文,建造物,角島大橋,B,現代資源
九州,沖縄,今帰仁村/名護市,人文,建造物,古宇利大橋,B,現代資源
九州,沖縄,宮古島市,人文,建造物,伊良部大橋,B,現代資源
中国,広島,福山市,人文,神社・寺院・教会,神勝寺,B,歴史資源
九州,福岡,築上町,人文,建造物,旧蔵内邸,B,現代資源
東海,長野,飯田市,人文,郷土景観,飯田リンゴ並木,B,歴史資源
北陸,石川,金沢市,人文,集落・街,にし茶屋街,B,現代資源
東北,岩手,一関市,人文,食,もち膳,B,現代資源
東北,福島,柳津町,人文,神社・寺院・教会,円蔵寺,B,歴史資源
南関東,埼玉,日高市,人文,神社・寺院・教会,高麗神社,B,歴史資源
南関東,埼玉,秩父市,人文,神社・寺院・教会,秩父神社,B,歴史資源
東京,東京,中央区,人文,神社・寺院・教会,水天宮,B,歴史資源
南関東,神奈川,横浜市,人文,神社・寺院・教会,総持寺,B,歴史資源
南関東,神奈川,横浜市,人文,神社・寺院・教会,称名寺,B,歴史資源
南関東,神奈川,鎌倉市,人文,神社・寺院・教会,浄智寺,B,歴史資源
北陸,福井,坂井市,人文,神社・寺院・教会,滝谷寺,B,歴史資源
東海,長野,安曇野市,人文,神社・寺院・教会,穂高神社,B,歴史資源
北陸,岐阜,高山市,人文,神社・寺院・教会,飛騨国分寺,B,歴史資源
東海,静岡,富士宮市,人文,神社・寺院・教会,北山本門寺,B,歴史資源
東海,静岡,熱海市,人文,神社・寺院・教会,伊豆山神社,B,歴史資源
東海,山梨,甲府市,人文,神社・寺院・教会,金桜神社,B,歴史資源
東海,愛知,一宮市,人文,神社・寺院・教会,妙興寺,B,歴史資源
南関西,三重,志摩市,人文,神社・寺院・教会,伊雑宮（内宮別宮）,B,歴史資源
南関西,三重,伊勢市,人文,神社・寺院・教会,荒祭宮（内宮別宮）,B,歴史資源
南関西,三重,伊勢市,人文,神社・寺院・教会,月読宮（内宮別宮）,B,歴史資源
南関西,三重,伊勢市,人文,神社・寺院・教会,御塩殿神社,B,歴史資源
北関西,滋賀,大津市,人文,神社・寺院・教会,円満院,B,歴史資源
北関西,滋賀,東近江市,人文,神社・寺院・教会,阿賀神社,B,歴史資源
北関西,京都,京都市,人文,神社・寺院・教会,長楽寺,B,歴史資源
北関西,京都,京都市,人文,神社・寺院・教会,法観寺（八坂の塔）,B,歴史資源
中国,兵庫,太子町,人文,神社・寺院・教会,斑鳩寺,B,歴史資源
南関西,奈良,奈良市,人文,神社・寺院・教会,手向山八幡宮,B,歴史資源
南関西,奈良,天川村,人文,神社・寺院・教会,龍泉寺,B,歴史資源
南関西,和歌山,和歌山市,人文,神社・寺院・教会,紀州東照宮,B,歴史資源
南関西,和歌山,和歌山市,人文,神社・寺院・教会,和歌浦天満宮,B,歴史資源
南関西,和歌山,かつらぎ町,人文,神社・寺院・教会,丹生都比売神社,B,歴史資源
南関西,和歌山,紀の川市,人文,神社・寺院・教会,鞆淵八幡神社,B,歴史資源
南関西,和歌山,九度山町,人文,神社・寺院・教会,丹生宮省符神社,B,歴史資源
中国,島根,津和野町,人文,神社・寺院・教会,(太皷谷)稲成神社,B,歴史資源
中国,岡山,岡山市,人文,神社・寺院・教会,吉備津彦神社,B,歴史資源
中国,広島,三原市,人文,神社・寺院・教会,佛通寺,B,歴史資源
四国,香川,高松市,人文,神社・寺院・教会,五剱(山観自在院)八栗寺,B,歴史資源
四国,香川,さぬき市,人文,神社・寺院・教会,志度寺,B,歴史資源
四国,香川,坂出市,人文,神社・寺院・教会,白峰宮,B,歴史資源
九州,福岡,篠栗町,人文,神社・寺院・教会,篠栗四国八十八カ所,B,歴史資源
九州,長崎,長崎市,人文,神社・寺院・教会,出津教会,B,歴史資源
九州,宮崎,高千穂町,人文,神社・寺院・教会,天岩戸神社,B,歴史資源
東京,東京,墨田区,人文,博物館・美術館,すみだ北斎美術館,B,現代資源
南関東,神奈川,横浜市,人文,博物館・美術館,横浜開港資料館,B,現代資源
九州,福岡,福岡市,人文,博物館・美術館,福岡市博物館,B,現代資源
東北,宮城,石巻市,人文,博物館・美術館,宮城県慶長使節船ミュージアム,B,現代資源
東北,宮城,気仙沼市,人文,博物館・美術館,リアス・アーク美術館,B,現代資源
東北,宮城,多賀城市,人文,博物館・美術館,東北歴史博物館,B,現代資源
九州,鹿児島,指宿市,人文,神社・寺院・教会,枚聞神社,B,歴史資源
北関西,京都,京都市,人文,庭園・公園,白龍園,B,自然資源
北関西,京都,京都市,人文,建造物,旧三井家下鴨別邸,B,現代資源
東海,長野,松本市,人文,建造物,牛伏川フランス式階段工,B,現代資源
北海道,北海道,稚内市,人文,建造物,稚内港北防波堤ドーム,B,現代資源
九州,鹿児島,薩摩川内市,人文,神社・寺院・教会,新田神社,B,歴史資源
南関西,三重,伊勢市,人文,神社・寺院・教会,倭姫宮（内宮別宮）,B,歴史資源
北関東,茨城,つくば市,人文,博物館・美術館,JAXA筑波宇宙センター,B,現代資源
南関東,神奈川,相模原市,人文,博物館・美術館,JAXA相模原キャンパス,B,現代資源
東京,東京,千代田区,人文,博物館・美術館,科学技術館,B,現代資源
北関西,滋賀,高島市,人文,集落・街,針江の生水,B,現代資源
東海,長野,茅野市/南牧村,自然,山岳,硫黄岳,B,自然資源
南関西,大阪,箕面市,自然,滝,箕面の滝,B,自然資源
