,地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク
1396,南関東,神奈川,鎌倉市/藤沢市,人文,郷土景観,江ノ島電鉄,B
1397,南関東,神奈川,箱根町,人文,郷土景観,箱根登山電車,B
1398,北陸,富山,黒部市,人文,郷土景観,黒部峡谷トロッコ列車,B
1399,北陸,富山,小矢部市,人文,郷土景観,小矢部のメルヘン建築群,B
1400,北陸,富山,礪波市,人文,郷土景観,礪波平野のチューリップ畑,B
1401,北陸,富山,滑川市,人文,郷土景観,ホタルイカ漁,B
1402,北陸,石川,輪島市,人文,郷土景観,輪島白米千枚田,A
1403,北陸,石川,金沢市,人文,集落・街,近江町市場,B
1404,北陸,石川,輪島市,人文,郷土景観,輪島の朝市,B
1405,北陸,石川,金沢市,人文,集落・街,金沢市主計町,B
1406,北陸,石川,金沢市,人文,集落・街,金沢市卯辰山麓,B
1407,北陸,石川,金沢市,人文,集落・街,金沢市寺町台,B
1408,東海,山梨,笛吹市,人文,郷土景観,甲府盆地の桃畑,A
1409,東海,山梨,甲州市,人文,郷土景観,甲府盆地のブドウ畑,B
1410,東海,長野,千曲市,人文,郷土景観,姨捨からの夜景,B
1411,東海,長野,南木曽町,人文,建造物,読書発電所諸施設,B
1412,東海,長野,千曲市,人文,郷土景観,更埴のあんず,B
1413,東海,長野,飯田市,人文,郷土景観,遠山郷・上村下栗の農村,B
1414,東海,長野,千曲市,人文,郷土景観,姨捨の棚田,B
1415,東海,長野,塩尻市,人文,郷土景観,木曾平沢の街並み,B
1416,北陸,岐阜,高山市,人文,郷土景観,高山の朝市,A
1417,北陸,岐阜,岐阜市,人文,郷土景観,長良川の鵜飼,A
1418,北陸,岐阜,美濃市,人文,郷土景観,美濃町の街並み,B
1419,東海,静岡,牧之原市,人文,郷土景観,牧之原の茶畑,A
1420,東海,静岡,島田市,人文,郷土景観,大井川鐵道のSL列車,A
1421,東海,静岡,伊豆の国市,人文,建造物,韮山反射炉,B
1422,東海,愛知,常滑市,人文,郷土景観,常滑焼の街並み,B
1423,南関西,三重,熊野市,人文,郷土景観,丸山千枚田,A
1424,南関西,三重,伊勢市,人文,郷土景観,おはらい町,B
1425,北関西,滋賀,甲賀市,人文,郷土景観,信楽焼の街並み,B
1426,北関西,京都,和束町,人文,郷土景観,和束町の茶畑,A
1427,北関西,京都,京都市,人文,郷土景観,伏見の酒蔵群,B
1428,北関西,京都,京都市,人文,郷土景観,嵯峨野トロッコ列車,B
1429,北関西,京都,京都市,人文,集落・街,錦市場商店街,B
1430,北関西,滋賀,大津市,人文,建造物,琵琶湖疏水施設群,B
1431,中国,兵庫,神戸市,人文,郷土景観,灘の酒蔵群,B
1432,中国,兵庫,明石市,人文,郷土景観,魚の棚商店街,B
1433,中国,兵庫,神戸市,人文,郷土景観,六甲山からの神戸の夜景,B
1434,中国,鳥取,境港市,人文,郷土景観,水木しげるロード,B
1435,中国,島根,出雲市/松江市,人文,郷土景観,宍道湖のシジミ漁,A
1436,中国,島根,出雲市/平田市,人文,郷土景観,出雲平野の築地松,B
1437,中国,岡山,備前市,人文,郷土景観,備前焼の街並み,B
1438,中国,岡山,岡山市,人文,郷土景観,西川緑道,B
1439,中国,広島,呉市,人文,郷土景観,呉市豊町御手洗の街並み,B
1440,四国,香川,丸亀市,人文,郷土景観,塩飽本島町笠島の街並み,B
1441,四国,愛媛,宇和島市,人文,郷土景観,遊子水荷浦の段畑,B
1442,四国,愛媛,松山市,人文,史跡,ロシア人墓地,B
1443,四国,高知,高知市,人文,郷土景観,ひろめ市場,B
1444,九州,福岡,北九州市,人文,郷土景観,旦過市場,B
1445,九州,福岡,柳川市,人文,郷土景観,柳川の水路,B
1446,九州,福岡,八女市,人文,郷土景観,大茶園の景観,B
1447,九州,佐賀,有田町,人文,郷土景観,有田焼窯元群,A
1448,九州,佐賀,唐津市,人文,郷土景観,呼子の朝市,B
1449,九州,佐賀,唐津市,人文,郷土景観,大浦の棚田,B
1450,九州,長崎,長崎市,人文,郷土景観,軍艦島,A
1451,九州,長崎,長崎市,人文,郷土景観,稲佐山からの長崎の夜景,B
1452,九州,長崎,対馬市,人文,郷土景観,椎根の石屋根倉庫,B
1453,九州,熊本,宇城市,人文,建造物,三角西港,B
1454,九州,熊本,小国町,人文,建造物,旧国鉄宮原線コンクリートアーチ橋りょう群,B
1455,九州,大分,竹田市,人文,郷土景観,農業水利施設群,B
1456,九州,宮崎,延岡市,人文,郷土景観,北浦町地下の段々茶畑,B
1457,九州,鹿児島,日置市,人文,郷土景観,薩摩焼の里美山,B
1458,九州,鹿児島,南九州市,人文,郷土景観,知覧の茶畑,B
1459,九州,沖縄,那覇市,人文,郷土景観,牧志公設市場,A
1460,九州,沖縄,那覇市,人文,郷土景観,壷屋やちむん通り,B
1461,北海道,北海道,札幌市,人文,庭園・公園,大通公園,A
1462,北海道,北海道,札幌市,人文,庭園・公園,モエレ沼公園,A
1463,北海道,北海道,旭川市,人文,庭園・公園,上野ファーム,B
1464,東北,青森,平川市,人文,庭園・公園,盛美園,B
1465,東北,宮城,大崎市,人文,庭園・公園,旧有備館庭園,B
1466,東北,福島,白河市,人文,庭園・公園,南湖公園,B
1467,北関東,茨城,水戸市,人文,庭園・公園,偕楽園,A
1468,北関東,茨城,ひたちなか市,人文,庭園・公園,国営ひたち海浜公園,B
1469,東京,東京,新宿区,人文,庭園・公園,新宿御苑,A
1470,東京,東京,中央区,人文,庭園・公園,浜離宮恩賜庭園,A
1471,東京,東京,立川市,人文,庭園・公園,国営昭和記念公園,B
1472,東京,東京,港区,人文,庭園・公園,国立科学博物館附属自然教育園,B
1473,東京,東京,北区,人文,庭園・公園,旧古河庭園,B
1474,東京,東京,新宿区/港区,人文,庭園・公園,明治神宮外苑,B
1475,東京,東京,江東区,人文,庭園・公園,清澄庭園,B
1476,東京,東京,文京区,人文,庭園・公園,六義園,B
1477,東京,東京,文京区,人文,庭園・公園,小石川後楽園,B
1478,東京,東京,千代田区,人文,庭園・公園,日比谷公園,B
1479,東京,東京,墨田区,人文,庭園・公園,向島百花園,B
1480,南関東,神奈川,横浜市,人文,庭園・公園,三渓園,B
1481,北陸,新潟,新発田市,人文,庭園・公園,清水園,B
1482,北陸,石川,金沢市,人文,庭園・公園,兼六園,A
1483,北陸,石川,金沢市,人文,庭園・公園,玉泉園,B
1484,北関西,滋賀,彦根市,人文,庭園・公園,玄宮楽々園,B
1485,北関西,滋賀,大津市,人文,庭園・公園,居初邸庭園,B
1486,北関西,京都,京都市,人文,庭園・公園,修学院離宮庭園,S
1487,北関西,京都,京都市,人文,庭園・公園,仙洞御所,A
1488,北関西,京都,京都市,人文,庭園・公園,無鄰菴庭園,B
1489,南関西,大阪,東大阪市,人文,建造物,鴻池新田会所,B
1490,南関西,大阪,大阪市,人文,庭園・公園,中之島公園,B
1491,南関西,大阪,大阪市,人文,庭園・公園,慶沢園,B
1492,南関西,奈良,宇陀市,人文,動植物園・水族館,森野旧薬園,B
1493,南関西,和歌山,和歌山市,人文,庭園・公園,養翠園,B
1494,中国,岡山,岡山市,人文,庭園・公園,後楽園,A
1495,中国,岡山,津山市,人文,庭園・公園,衆楽園,B
1496,中国,広島,広島市,人文,庭園・公園,縮景園,B
1497,中国,山口,防府市,人文,建造物,毛利本邸,B
1498,四国,香川,高松市,人文,庭園・公園,栗林公園,A
1499,四国,愛媛,宇和島市,人文,庭園・公園,天赦園,B
1500,九州,福岡,福岡市,人文,庭園・公園,大濠公園,B
1501,九州,福岡,添田町,人文,庭園・公園,旧亀石坊庭園,B
1502,九州,福岡,柳川市,人文,庭園・公園,立花氏邸,B
